ad_id,combined_entities
x_1001609540516810,[]
x_1003376533864531,['WMPID4511']
x_1004064094349321,['WMPID5324']
x_1004203997202867,['WMPID1357']
x_1010428737021346,"['WMPID5206', 'WMPID4650']"
x_1011888503543459,['WMPID1270']
x_1013620089542235,[]
x_1013768810016759,['WMPID5206']
x_1015172889200394,[]
x_1015397659125505,[]
x_1015603355970495,[]
x_1016899799707113,[]
x_1019616245366815,"['WMPID1547', 'WMPID5206', 'WMPID3166', 'WMPID20', 'WMPID3260']"
x_1019736776089143,['WMPID2485']
x_1020131876053286,"['WMPID1481', 'WMPID3060']"
x_1023378205730385,['WMPID1147']
x_1024452051598363,[]
x_1024951985570499,[]
x_1025017054847166,[]
x_1025105551498908,[]
x_1026978667968063,['WMPID2014']
x_1028813217910806,['WMPID1305']
x_1032861244044275,['WMPID1290']
x_1033122864071514,['WMPID1330']
x_1035023070530079,['WMPID3257']
x_1037308473614931,['WMPID3328']
x_1039404053442907,['WMPID1290']
x_1041129059916126,"['WMPID1289', 'WMPID1052', 'WMPID1516', 'WMPID2987']"
x_1042531123072090,['WMPID1422']
x_1043063996376890,"['WMPID3297', 'WMPID1290', 'WMPID3949', 'WMPID189']"
x_1043689939661965,['WMPID4441']
x_1044237466199887,['WMPID1289']
x_1044990812853313,['WMPID1471']
x_1045072316183721,"['WMPID5183', 'WMPID1289', 'WMPID1445']"
x_1046607579389169,[]
x_1046843495985110,[]
x_1047428935924382,['WMPID258']
x_1047561122479592,[]
x_1047873422549359,"['WMPID5234', 'WMPID2']"
x_1047933935796898,[]
x_1049368739192952,[]
x_1050310162329235,"['WMPID1187', 'WMPID2001']"
x_1050494392251799,['WMPID2090']
x_1050958342265382,['WMPID1269']
x_1052108438832134,[]
x_1052647452098072,['WMPID5335']
x_1052784298738497,[]
x_1052798825387413,[]
x_1053915428585191,[]
x_1054932858501727,"['WMPID3614', 'WMPID5306']"
x_1055742638635287,"['WMPID11', 'WMPID1495']"
x_1056335211691621,['WMPID1330']
x_1056787558446696,['WMPID1478']
x_1057757031545139,['WMPID1289']
x_1058253361495533,['WMPID1289']
x_1059909441319657,[]
x_1059959451355038,"['WMPID4650', 'WMPID5265']"
x_1059988298223171,[]
x_1060123661206845,[]
x_1060485408234615,[]
x_1060966107930213,[]
x_1061196991197669,[]
x_1061382767874988,[]
x_1061530651912399,[]
x_1061839301146063,[]
x_1062099077823574,['WMPID5281']
x_1062170817796874,"['WMPID1289', 'WMPID1131']"
x_1063783574246728,"['WMPID147', 'WMPID1289']"
x_1064394137531964,[]
x_1064964444189088,"['WMPID1220', 'WMPID3975']"
x_1065091204178834,[]
x_1065163964269432,['WMPID1263']
x_1066278174091333,[]
x_1068288863834345,[]
x_1068336087253861,"['WMPID5160', 'WMPID2977']"
x_1068908127132680,[]
x_1069182467081871,"['WMPID4342', 'WMPID5143']"
x_1069730496958077,"['WMPID1305', 'WMPID3196']"
x_1070082130308105,[]
x_1070335526986342,[]
x_1071093376833817,['WMPID3217']
x_1071099506793655,"['WMPID1463', 'WMPID5317', 'WMPID1632']"
x_1071299186847693,[]
x_1071326663552234,"['WMPID1302', 'WMPID3907']"
x_1072049270333667,[]
x_1072742783603114,[]
x_1073268296695551,"['WMPID2158', 'WMPID1469', 'WMPID1459']"
x_1073765176674625,"['WMPID5279', 'WMPID4511']"
x_1074389253257261,"['WMPID1302', 'WMPID1290']"
x_1074672943155274,['WMPID3923']
x_1074753963158290,[]
x_1074875933396930,['WMPID975']
x_1076343356288460,[]
x_1076984169512807,"['WMPID1450', 'WMPID4650']"
x_1077103062991374,['WMPID2065']
x_1077686236204609,"['WMPID5156', 'WMPID1110']"
x_1080123945996522,[]
x_1080204052696299,['WMPID2880']
x_1080902959455507,"['WMPID1405', 'WMPID1459', 'WMPID1290']"
x_1081290382577820,['WMPID5172']
x_1081381245887531,"['WMPID1445', 'WMPID5206']"
x_1081655649141264,[]
x_1082383066002806,"['WMPID1290', 'WMPID3196']"
x_1082547659122211,"['WMPID1926', 'WMPID1052', 'WMPID189']"
x_1083029772354301,['WMPID1081']
x_1083442629030918,[]
x_1084092495628586,['WMPID1289']
x_1084303552518772,[]
x_1084576595591698,[]
x_1085556132097418,"['WMPID3297', 'WMPID1289']"
x_1085571585658357,['WMPID1269']
x_1085620892086901,['WMPID1289']
x_1086243825417377,[]
x_1087228508650903,"['WMPID5344', 'WMPID534', 'WMPID5270']"
x_1087342818549091,[]
x_1087798722099688,"['WMPID1289', 'WMPID1537']"
x_1088237762057722,"['WMPID1289', 'WMPID690']"
x_1088370978543153,"['WMPID1321', 'WMPID787', 'WMPID1459']"
x_1089185645127626,['WMPID1105']
x_1089696741731746,[]
x_1090513638263754,[]
x_1090980061594968,['WMPID1568']
x_1091842931315118,['WMPID1289']
x_1093074098304854,"['WMPID1790', 'WMPID2065']"
x_1093139581344130,[]
x_1093498508001441,['WMPID1471']
x_1093611764631608,[]
x_1093945198210812,[]
x_1093984031484239,['WMPID1289']
x_1094582461244841,[]
x_1094631141244924,['WMPID1516']
x_1094833494761012,[]
x_1094853854493741,[]
x_1095165581398762,"['WMPID5337', 'WMPID5343']"
x_1095962374392816,[]
x_1096933457606873,['WMPID4659']
x_1097054897599946,[]
