id,name,descr,aliases
WMPID1812,Aaron Bean,Aaron Bean is a Republican candidate for the 4th District of Florida.,Aaron Bean|Bean|Aaron Bean's|Bean's|AARON BEAN|BEAN|AARON BEAN'S|BEAN'S
WMPID1859,Aaron David Trevino,Aaron David Trevino is a 3rd party Senate candidate in Colorado.,Aaron David Trevino|Trevino|Aaron Trevino|Aaron David Trevino's|Trevino's|Aaron Trevino's|AARON DAVID TREVINO|TREVINO|AARON TREVINO|AARON DAVID TREVINO'S|TREVINO'S|AARON TREVINO'S
WMPID3250,Aaron Heineman,Aaron Heineman is a 3rd party candidate for the 3rd District of Utah.,Aaron Heineman|Heineman|Aaron Heineman's|Heineman's|AARON HEINEMAN|HEINEMAN|AARON HEINEMAN'S|HEINEMAN'S
WMPID2749,Aaron Payton Lee,Aaron Payton Lee is a 3rd party candidate for the 4th District of Mississippi.,Aaron Payton Lee|Lee|Aaron Lee|Aaron Payton Lee's|Lee's|Aaron Lee's|AARON PAYTON LEE|LEE|AARON LEE|AARON PAYTON LEE'S|LEE'S|AARON LEE'S
WMPID1269,Abigail Spanberger,Abigail Spanberger is a Democratic candidate for the 7th District of Virginia.,Abigail Spanberger|Spanberger|Abigail Spanberger's|Spanberger's|ABIGAIL SPANBERGER|SPANBERGER|ABIGAIL SPANBERGER'S|SPANBERGER'S
WMPID5239,Abraham Lincoln,Abraham Lincoln is a former U.S. president.,Abraham Lincoln|Lincoln|Abraham Lincoln's|Lincoln's|ABRAHAM LINCOLN|LINCOLN|ABRAHAM LINCOLN'S|LINCOLN'S
WMPID2690,Adam Frisch,Adam Frisch is a Democratic candidate for the 3rd District of Colorado.,Adam Frisch|Frisch|Adam Frisch's|Frisch's|ADAM FRISCH|FRISCH|ADAM FRISCH'S|FRISCH'S
WMPID1770,Adam Gray,Adam Gray is a Democratic candidate for the 13rd District of California.,Adam Gray|Gray|Adam Gray's|Gray's|ADAM GRAY|GRAY|ADAM GRAY'S|GRAY'S
WMPID2987,Adam Laxalt,Adam Laxalt is a Republican Senate candidate in Nevada.,Adam Laxalt|Laxalt|Adam Laxalt's|Laxalt's|ADAM LAXALT|LAXALT|ADAM LAXALT'S|LAXALT'S
WMPID4392,Adam Martin,Adam Martin is a Democratic candidate for the 1st District of Oklahoma.,Adam Martin|Martin|Adam Martin's|Martin's|ADAM MARTIN|MARTIN|ADAM MARTIN'S|MARTIN'S
WMPID70,Adam Schiff,Adam Schiff is a Democratic candidate for the 30th District of California.,Adam Schiff|Schiff|Adam Schiff's|Schiff's|ADAM SCHIFF|SCHIFF|ADAM SCHIFF'S|SCHIFF'S
WMPID1032,Adam Smith,Adam Smith is a Democratic candidate for the 9th District of Washington.,Adam Smith|Smith|Adam Smith's|Smith's|ADAM SMITH|SMITH|ADAM SMITH'S|SMITH'S
WMPID2940,Adianis Morales,Adianis Morales is a Republican candidate for the 9th District of Florida.,Adianis Morales|Morales|Adianis Morales'|Morales'|ADIANIS MORALES|MORALES|ADIANIS MORALES'|MORALES'
WMPID998,Adrian Smith,Adrian Smith is a Republican candidate for the 3rd District of Nebraska.,Adrian Smith|Smith|Adrian Smith's|Smith's|ADRIAN SMITH|SMITH|ADRIAN SMITH'S|SMITH'S
