id,name,descr,aliases
WMPID1,Mike Pence,Mike Pence is a prominent politician.,Mike Pence|Pence|Mike Pence's|Pence's|MIKE PENCE|PENCE|MIKE PENCE'S|PENCE'S
WMPID2,Kamala Harris,Kamala Harris is a prominent politician.,Kamala Harris|Harris|Kamala Harris'|Harris'|KAMALA HARRIS|HARRIS|KAMALA HARRIS'|HARRIS'
WMPID3,Obama Barack,Obama Barack is a former U.S. president.,Obama Barack|Barack|Obama Barack's|Barack's|OBAMA BARACK|BARACK|OBAMA BARACK'S|BARACK'S
WMPID4,Bill Clinton,Bill Clinton is a former U.S. president.,Bill Clinton|Clinton|Bill Clinton's|Clinton's|BILL CLINTON|CLINTON|BILL CLINTON'S|CLINTON'S
WMPID5,George Bush,George Bush is a former U.S. president.,George Bush|Bush|George Bush's|Bush's|GEORGE BUSH|BUSH|GEORGE BUSH'S|BUSH'S
WMPID6,Ronald Reagan,Ronald Reagan is a former U.S. president.,Ronald Reagan|Reagan|Ronald Reagan's|Reagan's|RONALD REAGAN|REAGAN|RONALD REAGAN'S|REAGAN'S
WMPID7,Hillary Clinton,Hillary Clinton is a prominent politician.,Hillary Clinton|Clinton|Hillary Clinton's|Clinton's|HILLARY CLINTON|CLINTON|HILLARY CLINTON'S|CLINTON'S
WMPID8,Robert Mueller,Robert Mueller is a prominent politician.,Robert Mueller|Mueller|Robert Mueller's|Mueller's|ROBERT MUELLER|MUELLER|ROBERT MUELLER'S|MUELLER'S
WMPID9,Samuel Alito,Samuel Alito is a Supreme Court Justice.,Samuel Alito|Alito|Samuel Alito's|Alito's|SAMUEL ALITO|ALITO|SAMUEL ALITO'S|ALITO'S
WMPID10,John Roberts,John Roberts is a Supreme Court Justice.,John Roberts|Roberts|John Roberts'|Roberts'|JOHN ROBERTS|ROBERTS|JOHN ROBERTS'|ROBERTS'
WMPID11,Clarence Thomas,Clarence Thomas is a Supreme Court Justice.,Clarence Thomas|Thomas|Clarence Thomas'|Thomas'|CLARENCE THOMAS|THOMAS|CLARENCE THOMAS'|THOMAS'
WMPID12,Stephen Breyer,Stephen Breyer is a former Supreme Court Justice.,Stephen Breyer|Breyer|Stephen Breyer's|Breyer's|STEPHEN BREYER|BREYER|STEPHEN BREYER'S|BREYER'S
WMPID13,Elena Kagan,Elena Kagan is a Supreme Court Justice.,Elena Kagan|Kagan|Elena Kagan's|Kagan's|ELENA KAGAN|KAGAN|ELENA KAGAN'S|KAGAN'S
WMPID14,Sonia Sotomayor,Sonia Sotomayor is a Supreme Court Justice.,Sonia Sotomayor|Sotomayor|Sonia Sotomayor's|Sotomayor's|SONIA SOTOMAYOR|SOTOMAYOR|SONIA SOTOMAYOR'S|SOTOMAYOR'S
